Description des UE;Unnamed: 1
Contenu;"Programme :
•
Les paradigmes de programmation déjà étudiés et celui de la programmation fonctionnelle
•
Programmation fonctionnelle pure
•
Expression, valeur et type
•
Valeur fonctionnelle (en bref : fonction)
•
Fonction d'ordre supérieur
•
Application d'une fonction (y compris application partielle)
•
Évaluation stricte, évaluation paresseuse
•
Inférence de type
• Polymorphisme
•
Définition (ou liaison) : locale ou globale
•
Fonction anonyme
•
Définition inductive d'ensembles
•
Preuve par récurrence, preuve par induction structurelle
•
Définition récursive de fonctions (y compris mutuelle)
•
Définition de types (dont définition récursive, y compris mutuelle)
•
Programmation par filtrage de motifs
•
Preuve de terminaison et de correction d'un programme fonctionnel
•
Récursivité terminale
•
Effet de bord
•
Programmer en combinant paradigmes fonctionnel et impératif
• Apprentissage d'un langage fonctionnel avec inférence de types, permettant de programmer par filtrage et de combiner ces paradigmes"
Méthodes d’enseignement;"Présentiel : L’enseignement s’organisera autour de séances de cours magistraux, de travaux dirigés et de travaux pratiques.
Distanciel : Le travail concernera l'inférence de type. Il sera éventuellement complété par un travail de programmation et/ou par un travail de découverte d'autres langages fonctionnels (que celui utilisé dans l'UE) ainsi que d'aspects fonctionnels présents dans des langages non fonctionnels"
Langue d’enseignement;Français
Bibliographie;
;
X32I010;Informatique Fondamentale 2
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;6
Responsable de l’UE;JABER GUILHEM ENGUEHARD CHANTAL
Volume horaire total;TOTAL : 46.2h Répartition : CM : 20h TD : 22h CI : 0h TP : 0h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);Informatique fondamentale 1 (X21I010) Logique pour l'informatique (X22I010)
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Informatique Fondamentale 2 100%
Obtention de l’UE;La note de contrôle continu peut contenir une ou plusieurs composantes pratiques et éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l'issue de ce module, l'étudiant saura:
- connaître les propriétés des langages algébriques
- concevoir un automate à pile à partir d'une grammaire algébrique
- savoir démontrer qu'un langage n'est pas algébrique à l'aide du lemme d'itération
- savoir démontrer qu'un ensemble est dénombrable / indénombrable
- concevoir une machine de Turing qui accepte / décide un langage
- distinguer un problème décidable d'un problème indécidable
- comprendre la résolution de problèmes par réduction
- comprendre la construction des fonctions et prédicats récursifs primitifs
- savoir faire une preuve par induction
- savoir construire des objets inductivement
- savoir construire des termes, les manipuler, et les transformer
- comprendre le mécanisme d'unification
- savoir ordonner des termes"
Contenu;"Cadres généraux de calcul
Systèmes de transitions et automates formels : automates et transducteurs finis, automates à piles et à compteurs, machines de Turing.
Conception formelle relationnelle des automates et des calculs. Machines d'Eilenberg. Simulation des automates.
Calculs récursifs. Les principaux cas : langages hors contexte, sémantique des programmes logiques définis. Opérateurs continus sur les domaines partiellement ordonnés. Point fixe. Calculabilité et décidabilité
Énumérations de Godel. Fonctions récursives.
Problèmes non décidables. Réductions entre les problèmes. Calculs symboliques
Lambda calcul. Sémantique opérationnelle par réduction de termes. Propriété de Church-Rosser. Sémantique fonctionnelle. Liens avec les langages fonctionnels.
Systèmes équationnels. Sémantiques algébrique et opérationnelle. Problème de résolution. Systèmes de réécriture de termes. Problèmes de terminaison et de confluence. Ordres de calculabilité."
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
X32I030;Recherche opérationnelle
Lieu d’enseignement;Lombarderie
Niveau;Licence
Semestre;6
Responsable de l’UE;PRZYBYLSKI ANTHONY
Volume horaire total;TOTAL : 46.2h Répartition : CM : 13.33h TD : 20.67h CI : 0h TP : 8h EAD : 4.2h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : Informatique / mineure Informatique,L3 Info : Maths Info / mineure Maths Info,L3 Maths : Maths / mineure CMI Ingéniérie Statistique _ CMI-IS,L3 Info : Maths Info / mineure CMI OPTIM,L3 Info : Informatique / mineure Informatique LAS3
Evaluation;
Pondération pour chaque matière;Recherche opérationnelle 100%
Obtention de l’UE;La note de contrôle continu peut contenir une ou plusieurs composantes pratiques et éventuellement une composante distancielle.
Programme;
Objectifs (résultats d'apprentissage);"A l'issue de cette UE, l'étudiant devra
- Etre capable de modéliser des programmes linéaires (variables continues et entières), et de reconnaître les principales structures de problème (structure de recette, structure de couverture, structure de mélange, structure multi-période) (A - M)
- Etre capable d'utiliser des variables binaires pour modéliser des problèmes d'optimisation combinatoire, et de reconnaître certaines structures combinatoires (A - M)
- Etre capable d'utiliser les principales astuces de modélisation basées sur l'utilisation de variables binaires (A - M)
- Connaître les propriétés géométriques des programmes linéaires en variables continues, caractérisation des solutions optimales (M)
- Etre capable de résoudre graphiquement un programme linéaire (M)
- Connaître les notions de base, solution de base, et coût réduit en programmation linéaire en variables continues (M)
- Etre capable d'utiliser l'algorithme du simplexe pour la résolution de programme linéaires en variables continues (A)
- Connaître les différences entre le cas continu et le cas discret en programmation linéaire (I)
- Introduction des principales méthodes de résolution pour la programmation linéaire en variables entières, intérêt pour d'autres formalismes de modélisation dans ce contexte (I)
- Connaître les notions de coût dual associé à une contrainte, d'intervalle de sensibilité d'un coefficient de la fonction objectif ou d'un second membre d'une contrainte, être capable d'interpréter leur signification (I)
- Etre capable de déterminer l'intervalle de sensibilité d'un coefficient de la fonction objectif ou d'un second membre d'une contrainte (A)
- Etre capable de modéliser un problème d'ordonnancement simple par un graphe potentiel-tâche (A-M)
- Connaître les notions de calendrier au plus tôt, calendrier au plus tard pour un ensemble de tâche, et la notion de marge d'une tâche dans le contexte d'un problème d'ordonnancement simple (M)
- Etre capable de déterminer un calendrier au plus tôt, un calendrier au plus tard et les marges des tâches, dans le contexte d'un problème d'ordonnancement simple (A)
- Introduction à la problématique de l'optimisation multi-objectif : connaissance de la notion de solution efficace, limite de l'utilisation de la somme pondérée (I)
- Utilisation d'un langage de modélisation algébrique : comprendre la différence entre un modèle explicite et un modèle implicite (I)
- Utilisation d'un langage de modélisation algébrique : être capable d'écrire un modèle implicite (A)
- Utilisation d'un langage de modélisation algébrique : comprendre l'utilisation d'une structure de matrice creuse pour décrire des contraintes (I)
- Utilisation d'un langage de modélisation algébrique : être capable d'utiliser une structure de matrice creuse pour décrire des contraintes (A)
- Utilisation d'un langage de modélisation algébrique : être capable de détermine si le choix d'une matrice creuse est pertinent ou pas pour décrire des contraintes (A)
- Utilisation d'un solveur MIP : comprendre l'utilisation d'un solveur MIP en tant que bibliothèque de fonction et être capable de l'utiliser pour résoudre un unique problème de programmation linéaire en variables mixtes (A)
- Utilisation d'un solveur MIP : être capable d'implémenter un algorithme donné, en faisant des appels successifs à un solveur MIP pour résoudre un problème de programmation linéaire en variables mixtes (A)"
;
Contenu;"Ce cours d'introduction à la Recherche Opérationnelle (RO) est composé de deux parties :
•
La partie dite « fondamentale » introduit les notions minimales que tout informaticien se doit de connaître : Comprendre un problème posé, le modéliser (c'est-à-dire en donner une description non- ambigüe), connaître les propriétés de ce modèle pour ensuite le résoudre à l'aide d'un solveur approprié, et enfin interpréter la solution numérique obtenue en termes concrets. Le formalisme choisi pour cette partie est la Programmation Linéaire.
•
La partie dite de « découverte » complète la partie fondamentale en introduisant d'autres formalismes de modélisation, d'autres problématiques, et d'autres méthodes de résolution. Cette seconde partie permet en particulier d'avoir une meilleure idée de ce qu'est la Recherche Opérationnelle.
•
Contenu fondamental :
-
Introduction à la modélisation par la programmation linéaire
-
Utilisation de variables continues, entières et binaires
-
Modélisation avancée : linéarisation de modèles en utilisant des variables binaires
-
Propriétés géométriques, caractérisation des solutions optimales, et résolution graphique de programmes linéaires
-
Résolution de programmes linéaires par l'algorithme du simplexe
-
Interprétation des solutions et analyse de sensibilité
-
Utilisation de langages de modélisation et de solveurs de programmation linéaires
-
Instanciation et application sur des études de cas (industrie minière, transports et logistique, ordonnancement, gestion de l'énergie, santé, planification de la production, économie et finance, télécommunication, emploi du temps...)
•
Contenu de découverte :
-
Introduction à la modélisation de problèmes d'optimisation par la théorie des graphes
-
Introduction à l'ordonnancement simple
-
Introduction à la programmation dynamique
-
Introduction à l'optimisation multiobjectif
-
Introduction aux métaheuristiques"
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
X32I130;Projet d'informatique scientifique
Lieu d’enseignement;
Niveau;Licence
Semestre;6
Responsable de l’UE;GANDIBLEUX XAVIER
Volume horaire total;TOTAL : 4h Répartition : CM : 0h TD : 4h CI : 0h TP : 0h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Info : Maths Info / mineure Maths Info,L3 Info : Maths Info / mineure CMI OPTIM
Evaluation;
Pondération pour chaque matière;"Projet d'informatique scientifique %
Projet d'informatique scientifique 100%"
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;"Contenu du cours
Le projet d'informatique scientifique consiste en une activité de conception et réalisation d’une solution logicielle open-source alliant mathématiques et informatique. Le thème proposé varie d'une année à l'autre et aborde un domaine de l'informatique scientifique. Les développements informatiques se feront de préférence avec le langage de programmation Julia. Le projet sera   réalisé individuellement et supervisé par un enseignant. Chaque étudiant réalisera une solution logicielle, présentera un exposé et rédigera un rapport scientifique.
Objectifs (et/ou acquis d'apprentissages spécifiques)
L'unité d'enseignement est composée d'un projet réalisé individuellement durant le second quadrimestre de la licence 3 sur une thématique scientifique donnée. L’objectif de ce projet est double : (1) conduire l’étudiant à utiliser un ensemble de connaissances acquises dans les diverses unités d’enseignement de licence (dont algèbre, analyse, probabilités, statistiques, analyse numérique, optimisation, recherche opérationnelle, algorithmes, programmation, logique, etc.) et
(2) apprendre à l’étudiant à gérer un projet, surmonter les contraintes, s’attaquer à du concret.   En fonction du sujet du projet (qui varie d'une année à l'autre), ce travail couvre plusieurs activités, comme la revue des fondements théoriques (énoncé et démonstration de propriétés, théorèmes, etc., mis en œuvre), la spécification, la conception, l'implémentation, le testing, la rédaction d'une documentation. Les codes informatiques seront écrits dans le langage de programmation scientifique Julia. L’usage d’outils tel que Github sera attendu. Le projet représente un travail étudiant de 3ECTS/30h. Le travail réalisé sera présenté et fera l’objet d’un rapport.
Pré-Requis
Ce projet suppose acquises les notions d'algorithmique, de programmation, de mathématiques visées par les cours faisant partie du programme de licence informatique parcours maths- informatique.
Méthodes d'enseignement
Ce cours est donné sous forme de travaux dirigés (3 séances de 1h20 : une séance de lancement, une à mi-parcours, et une finale) et de l’encadrement du projet (30h étudiants).
Acquis d'apprentissage spécifiques au cours
Les compétences visées par le projet scientifique consistent d'une part en des compétences transversales et d'autre part en des compétences techniques disciplinaires spécifiques.
Compétences transversales :
Le projet vise à acquérir des compétences transversales proches de la pratique d’un scientifique dans un contexte disciplinaire varié :
• analyser un système existant et le perfectionner ;
• analyser avec sens critique des données expérimentales ;
• faire la part des choses entre la réalité et les modèles utilisés pour la décrire ou la modifier ;
• appréhender la notion d'incertitude dans la gestion du projet, dans sa réalisation, et dans les résultats obtenus.
Le projet fera également la part belle au droit à l'erreur, composante caractéristique de début de carrière d'un junior confronté à une situation concrète.
Compétences techniques disciplinaires spécifiques :
Ce projet vise également à acquérir des compétences techniques en informatique. Au terme de ce projet, les étudiants seront capables de :
• appliquer simultanément et de façon cohérente des connaissances et compétences acquises dans différents domaines de l'informatique et des mathématiques. Certaines de ces compétences seront acquises lors de ce projet ;
• identifier et réaliser les différentes étapes de conception d'un logiciel ;
• gérer le planning d'un projet informatique ;
• comprendre l'architecture d'un logiciel pour faire des choix éclairés en vue de le modifier ou de le perfectionner ;
• faire preuve d'esprit critique par rapport au projet ainsi qu'à ses livrables et en particulier sur la pertinence du logiciel, l'analyse et la conception du système, mais également par rapport à la gestion du planning ;
• mettre en valeur le logiciel réalisé par une démonstration ainsi que sa distribution Open Source."
;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
;
XLG6TU200;Stage libre
Lieu d’enseignement;
Niveau;Licence
Semestre;6
Responsable de l’UE;
Volume horaire total;TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h
Place de l’enseignement;
UE pré-requise(s);
Parcours d’études comprenant l’UE;L3 Chimie : Chimie / mineure Chimie Avancée, L3 Chimie : Chimie Biologie,L3 Chimie : Chimie- Physique DOUBLE DIPLOME,L3 Chimie : Chimie /mineure Enseigner à l'Ecole Primaire EEP,L3 Physique : Physique - CMI Ingé. Nuclé. et Appli. _ CMI-INA,L3 Maths : Maths / mineure CMI Ingéniérie Statistique _ CMI-IS,L3 Info : Maths Info / mineure CMI OPTIM,L3 SPI : Electronique, Energie Electrique, Automatique _ EEA,2025 L3 SPI Génie Civil,L3 Info : Informatique / mineure Informatique,L3 Maths : Maths Economie,L3 Info : Maths Info / mineure Maths Info,L3 Maths : Maths / mineure Maths,L3 Info : MIAGE - CLASSIQUE,L3 Physique : Physique,L3 Physique : Physique / mineure Enseigner à l'Ecole Primaire _ EEP,L3 Physique : Physique-Chimie DOUBLE DIPLOME,L3 Physique : Mécanique,L3 SV : Advanced Biology Training ABT,L3 SV : Biologie Cellulaire et Moléculaire BCM,L3 SV : Biologie Cellulaire et Physiologie Animale BCPA,L3 SV : Sciences du Végétal et de l'Aliment SVA / mineure SVA,L3 SV : Sciences du Végétal et de l'Aliment SVA / mineure Enseigner à l'Ecole Primaire _ EEP,L3 SV : Biologie Cellulaire Véto Agro BCVA,L3 SVT : Biologie Écologie _BE,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Enseigner à l'Ecole Primaire _ EEP,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Enseigner les SVT,L3 SVT : Biologie, Géologie, Environnement BGE / mineure Environnement,L3 SVT : Sciences de la Terre et de l'Univers STU,L3 SV : Sciences du Végétal et de l'Aliment LAS3,L3 SVT : Biologie Écologie _BE LAS3, L3 Chimie : Chimie / mineure Chimie Avancée LAS3,L3 Physique : Physique LAS3,L3 Maths : Maths / mineure Maths LAS3,L3 Info : Informatique / mineure Informatique LAS3,L3 Physique : Mécanique - CMI Ingé. Calcul Méca. _ CMI-ICM,2025 L3 SPI EEA,2025 L3 SVT Biologie Ecologie,2025 L3 SVT Enseigner les SVT,2025 L3 SVT Géosciences,2025 L3 SVT LAS 3 Biologie Ecologie,2025 L3 SVT Sciences de l'environnement,2025 L3SV : Biologie Cellulaire et Physiologie Animale,2025 L3SV : Sciences du Végétal et de l'Aliment,2025 L3SV : Biologie Vétérinaire Agronomie,2025 L3SV: Advanced Biology Training,2025 L3SV ABT S5 100% Anglais,2025 L3SV : Licence SV Accès Santé - LAS3 - ,2025 L3SV : Biologie Cellulaire et Moléculaire,2025 L3 MIASHS - parcours economie,2025 L3 INFO Informatique  mathématiques,2025 L3 Mathématiques,2025 L3 Maths L.AS Maths,2025 L3 MATHS CMI IS,2025 L3 Physique Chimie,2025 L3 Chimie,2025 L3 Chimie option Santé,2025 L3 Chimie-Biologie,2025 L3 INFO Informatique,2025 L3 INFO option santé (L.AS 3),2025 L3 Physique - CMI INA,2025 L3 Physique,2025 L3 Mécanique - CMI ICM,2025 L3 Mécanique,2025 L3 Physique OPTION SANTE,L3 SPI Génie Civil,L3 SPI Génie Civil option SANTE,2025 L3 SPI Génie Civil option SANTE,2025 L3   SPI EEA option Santé
Evaluation;
Pondération pour chaque matière;Stage libre 100%
Obtention de l’UE;
Programme;
Objectifs (résultats d'apprentissage);
Contenu;
Méthodes d’enseignement;
Langue d’enseignement;Français
Bibliographie;
Dernière modification par ISABELLE BEAUDET, le 2020-05-27 19:02:49;
